Sample Name	Protocol REF	Protocol REF	Labeled Extract Name	Parameter Value[Run Number]	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Dissociation]	Parameter Value[Detector]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Derived Spectral Data File
SFug_M1	protein extraction	Labeling	SFug_M1	TMTa	127N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
SFug_M2	protein extraction	Labeling	SFug_M2	TMTb	127N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
SFug_M3	protein extraction	Labeling	SFug_M3	TMTc	127N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
SFug_F1	protein extraction	Labeling	SFug_F1	TMTa	126			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
SFug_F2	protein extraction	Labeling	SFug_F2	TMTb	126			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
SFug_F3	protein extraction	Labeling	SFug_F3	TMTc	126			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
SF1g_M1	protein extraction	Labeling	SF1g_M1	TMTa	128N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
SF1g_M2	protein extraction	Labeling	SF1g_M2	TMTb	128N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
SF1g_M3	protein extraction	Labeling	SF1g_M3	TMTc	128N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
SF1g_F1	protein extraction	Labeling	SF1g_F1	TMTa	127C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
SF1g_F2	protein extraction	Labeling	SF 1g_F2	TMTb	127C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
SF1g_F3	protein extraction	Labeling	SF 1g_F3	TMTc	127C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
Earth M1	protein extraction	Labeling	Earth M1	TMTa	129N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
Earth M2	protein extraction	Labeling	Earth M2	TMTb	129N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
Earth M3	protein extraction	Labeling	Earth M3	TMTc	129N			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
Earth F1	protein extraction	Labeling	Earth F1	TMTa	128C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTA_20191221.zip	Data Transformation	GLDS-514_proteomics_TMTa.tar.gz
Earth F2	protein extraction	Labeling	Earth F2	TMTb	128C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTB_20200104.zip	Data Transformation	GLDS-514_proteomics_TMTb.tar.gz
Earth F3	protein extraction	Labeling	Earth F3	TMTc	128C			Mass Spectrometry	Orbitrap Fusion	UltiMate 3000 RSLCnano system	PicoView nanospray source	high energy collision-induced dissociation (HCD)	Orbitrap	SEQUEST and Proteome Discoverer	proteomics	GLDS-514_proteomics_Flies_TMTC_20200109.zip	Data Transformation	GLDS-514_proteomics_TMTc.tar.gz
