,FB ID,Gene Symbol
0,FBgn0000003,7SLRNA:CR32864
1,FBgn0000008,a
2,FBgn0000014,abd-A
3,FBgn0000015,Abd-B
4,FBgn0000017,Abl
5,FBgn0000018,abo
6,FBgn0000024,Ace
7,FBgn0000028,acj6
8,FBgn0000032,Acph-1
9,FBgn0000036,nAChRalpha1
10,FBgn0000037,mAChR-A
11,FBgn0000038,nAChRbeta1
12,FBgn0000039,nAChRalpha2
13,FBgn0000042,Act5C
14,FBgn0000043,Act42A
15,FBgn0000044,Act57B
16,FBgn0000045,Act79B
17,FBgn0000046,Act87E
18,FBgn0000047,Act88F
19,FBgn0000052,Pfas
20,FBgn0000053,Gart
21,FBgn0000055,Adh
22,FBgn0000056,Adhr
23,FBgn0000057,adp
24,FBgn0000061,al
25,FBgn0000063,Mps1
26,FBgn0000064,Ald1
27,FBgn0000071,Ama
28,FBgn0000075,amd
29,FBgn0000077,amx
30,FBgn0000078,Amy-d
31,FBgn0000079,Amy-p
32,FBgn0000083,AnxB9
33,FBgn0000084,AnxB10
34,FBgn0000092,dyw
35,FBgn0000097,aop
36,FBgn0000100,RpLP0
37,FBgn0000108,Appl
38,FBgn0000109,Aprt
39,FBgn0000114,bru1
40,FBgn0000115,Arl1
41,FBgn0000116,Argk1
42,FBgn0000117,arm
43,FBgn0000119,arr
44,FBgn0000120,Arr1
45,FBgn0000121,Arr2
46,FBgn0000137,ase
47,FBgn0000139,ash2
48,FBgn0000140,asp
49,FBgn0000146,aub
50,FBgn0000147,aurA
51,FBgn0000150,awd
52,FBgn0000152,Axs
53,FBgn0000153,b
54,FBgn0000157,Dll
55,FBgn0000158,bam
56,FBgn0000163,baz
57,FBgn0000166,bcd
58,FBgn0000173,ben
59,FBgn0000179,bi
60,FBgn0000180,bib
61,FBgn0000181,bic
62,FBgn0000182,BicC
63,FBgn0000183,BicD
64,FBgn0000206,boss
65,FBgn0000212,brm
66,FBgn0000221,brn
67,FBgn0000228,Nin
68,FBgn0000229,bsk
69,FBgn0000233,btd
70,FBgn0000239,bur
71,FBgn0000241,bw
72,FBgn0000244,by
73,FBgn0000246,c(3)G
74,FBgn0000247,ca
75,FBgn0000250,cact
76,FBgn0000251,cad
77,FBgn0000253,Cam
78,FBgn0000256,capu
79,FBgn0000257,car
80,FBgn0000259,CkIIbeta
81,FBgn0000261,Cat
82,FBgn0000273,Pka-C1
83,FBgn0000274,Pka-C2
84,FBgn0000276,CecA1
85,FBgn0000277,CecA2
86,FBgn0000278,CecB
87,FBgn0000279,CecC
88,FBgn0000283,Cp190
89,FBgn0000286,Cf2
90,FBgn0000287,salr
91,FBgn0000289,cg
92,FBgn0000299,Col4a1
93,FBgn0000303,ChAT
94,FBgn0000307,chif
95,FBgn0000308,chic
96,FBgn0000316,cin
97,FBgn0000317,ck
98,FBgn0000318,cl
99,FBgn0000319,Chc
100,FBgn0000320,eya
101,FBgn0000326,clt
102,FBgn0000330,cm
103,FBgn0000337,cn
104,FBgn0000339,cni
105,FBgn0000346,comt
106,FBgn0000351,cort
107,FBgn0000352,cos
