"","condition"
"ug_M3_CRRA190004236-1a_HV3NWDSXX_L2","ug...M"
"ug_F1_CRRA190004230-1a_HV3NWDSXX_L2","ug...F"
"AGC_F2_CRRA190004247-1a_HV3NWDSXX_L4","AGC...F"
"AGC_F4_CRRA190004249-1a_HV3NWDSXX_L4","AGC...F"
"AGC_F1_CRRA190004246-1a_HV3NWDSXX_L4","AGC...F"
"ug_F2_CRRA190004231-1a_HV3NWDSXX_L2","ug...F"
"s_1g_F3_CRRA190004240-1a_HV3NWDSXX_L4","s_1g...F"
"AGC_M4_CRRA190004253-1a_HV3NWDSXX_L4","AGC...M"
"s_1g_F1_CRRA190004238-1a_HV3NWDSXX_L2","s_1g...F"
"ug_M2_CRRA190004235-1a_HV3NWDSXX_L2","ug...M"
"s_1g_M3_CRRA190004244-1a_HV3NWDSXX_L4","s_1g...M"
"ug_F3_CRRA190004232-1a_HV3NWDSXX_L2","ug...F"
"ug_M1_CRRA190004234-1a_HV3NWDSXX_L2","ug...M"
"s_1g_F2_CRRA190004239-1a_HV3NWDSXX_L2","s_1g...F"
"AGC_M2_CRRA190004251-1a_HV3NWDSXX_L4","AGC...M"
"ug_M4_CRRA190004237-1a_HV3NWDSXX_L2","ug...M"
"s_1g_F4_CRRA190004241-1a_HV3NWDSXX_L4","s_1g...F"
"AGC_F3_CRRA190004248-1a_HV3NWDSXX_L4","AGC...F"
"AGC_M1_CRRA190004250-1a_HV3NWDSXX_L4","AGC...M"
"s_1g_M2_CRRA190004243-1a_HV3NWDSXX_L4","s_1g...M"
"s_1g_M4_CRRA190004245-1a_HV3NWDSXX_L4","s_1g...M"
"AGC_M3_CRRA190004252-1a_HV3NWDSXX_L4","AGC...M"
"s_1g_M1_CRRA190004242-1a_HV3NWDSXX_L4","s_1g...M"
"ug_F4_CRRA190004233-1a_HV3NWDSXX_L2","ug...F"
