source_name,alsda_id,th_positive_cells,repo_glial_cells,brain_area_pixels,glial_aggregates,elav_dendritic_field_area_left,elav_dendritic_field_area_right,elav_neuronal_field_area_left,elav_neuronal_field_area_right,8oxodG_positive_cells,cc3_positive_cells,brain_area_pixels
R0_Earth_F1,R0_Earth_F1,101,,95091.874,,,,,,,,
R0_Earth_F2,R0_Earth_F2,103,401,150083.93,,,,,,,,
R0_Earth_F3,R0_Earth_F3,86,351,138315.53,,,,,,,,
R0_Earth_F4,R0_Earth_F4,101,515,141561.86,,,,,,,,
R0_Earth_F5,R0_Earth_F5,98,,134268.99,,,,,,,,
R0_Earth_F6,R0_Earth_F6,110,351,134766.39,,,,,,,,
R0_Earth_F7,R0_Earth_F7,115,397,136773.57,,,,,,,,
R0_Earth_F8,R0_Earth_F8,97,550,141246.99,,,,,,,,
R0_Earth_F9,R0_Earth_F9,102,295,133935.4,,,,,,,,
R0_Earth_M1,R0_Earth_M1,85,456,127659.05,,,,,,,,
R0_Earth_M2,R0_Earth_M2,75,332,122001.26,,,,,,,,
R0_Earth_M3,R0_Earth_M3,95,424,116862.32,,,,,,,,
R0_Earth_M4,R0_Earth_M4,90,368,98822.321,,,,,,,,
R0_Earth_M5,R0_Earth_M5,88,540,114396.78,,,,,,,,
R0_Earth_M6,R0_Earth_M6,82,,133696.42,,,,,,,,
R0_Earth_M7,R0_Earth_M7,,610,149170.56,,,,,,,,
R0_Earth_M8,R0_Earth_M8,,426,118774.98,,,,,,,,
R0_SF1g_F1,R0_SF1g_F1,105,478,106955,,,,,,,,
R0_SF1g_F2,R0_SF1g_F2,100,547,114671.5,,,,,,,,
R0_SF1g_F3,R0_SF1g_F3,120,423,120852.7,,,,,,,,
R0_SF1g_F4,R0_SF1g_F4,118,751,105198,,,,,,,,
R0_SF1g_F5,R0_SF1g_F5,112,626,146922.5,,,,,,,,
R0_SF1g_F6,R0_SF1g_F6,117,580,133167.5,,,,,,,,
R0_SF1g_M1,R0_SF1g_M1,92,388,127032.9,,,,,,,,
R0_SF1g_M2,R0_SF1g_M2,112,476,131679.2,,,,,,,,
